x: 0.0, y: 0.0
[1725214598004] x: 0.0, y: 0.0
[1725214598015] x: 0.0, y: 0.0
[1725214598026] x: 0.0, y: 0.0
[1725214598037] x: 0.0, y: 0.0
[1725214598048] x: 0.0, y: 0.0
[1725214598059] x: 0.0, y: 0.0
[1725214598070] x: 0.0, y: 0.0
[1725214598080] x: 0.0, y: 0.0
[1725214598092] x: 0.0, y: 0.0
[1725214598103] x: 0.0, y: 0.0
[1725214598114] x: 0.0, y: 0.0
[1725214598125] x: 0.0, y: 0.0
[1725214598136] x: 0.0, y: 0.0
[1725214598147] x: 0.0, y: 0.0
[1725214598158] x: 0.0, y: 0.0
[1725214598169] x: 0.0, y: 0.0
[1725214598180] x: 0.0, y: 0.0
[1725214598191] x: 0.0, y: 0.0
[1725214598202] x: 0.0, y: 0.0
[1725214598213] x: 0.0, y: 0.0
[1725214598224] x: 0.0, y: 0.0
[1725214598235] x: 0.0, y: 0.0
[1725214598246] x: 0.0, y: 0.0
[1725214598257] x: 0.0, y: 0.0
[1725214598268] x: 0.0, y: 0.0
[1725214598279] x: 0.0, y: 0.0
[1725214598290] x: 0.0, y: 0.0
[1725214598301] x: 0.0, y: 0.0
[1725214598312] x: 0.0, y: 0.0
[1725214598323] x: 0.0, y: 0.0
[1725214598334] x: 0.0, y: 0.0
[1725214598345] x: 0.0, y: 0.0
[1725214598356] x: 0.0, y: 0.0
[1725214598367] x: 0.0, y: 0.0
[1725214598378] x: 0.0, y: 0.0
[1725214598389] x: 0.0, y: 0.0
[1725214598400] x: 0.0, y: 0.0
[1725214598411] x: 0.0, y: 0.0
[1725214598422] x: 0.0, y: 0.0
[1725214598433] x: 0.0, y: 0.0
[1725214598444] x: 0.0, y: 0.0
[1725214598455] x: 0.0, y: 0.0
[1725214598466] x: 0.0, y: 0.0
[1725214598477] x: 0.0, y: 0.0
[1725214598488] x: 0.0, y: 0.0
[1725214598499] x: 0.0, y: 0.0
[1725214598510] x: 0.0, y: 0.0
[1725214598521] x: 0.0, y: 0.0
[1725214598532] x: 0.0, y: 0.0
[1725214598543] x: 0.0, y: 0.0
[1725214598554] x: 0.0, y: 0.0
[1725214598565] x: 0.0, y: 0.0
[1725214598576] x: 0.0, y: 0.0
[1725214598587] x: 0.0, y: 0.0
[1725214598598] x: 0.0, y: 0.0
[1725214598609] x: 0.0, y: 0.0
[1725214598620] x: 0.0, y: 0.0
[1725214598631] x: 0.0, y: 0.0
[1725214598642] x: 0.0, y: 0.0
[1725214598653] x: 0.0, y: 0.0
[1725214598664] x: 0.0, y: 0.0
[1725214598675] x: 0.0, y: 0.0
[1725214598686] x: 0.0, y: 0.0
[1725214598697] x: 0.0, y: 0.0
[1725214598707] x: 0.0, y: 0.0
[1725214598718] x: 0.0, y: 0.0
[1725214598730] x: 0.0, y: 0.0
[1725214598741] x: 0.0, y: 0.0
[1725214598752] x: 0.0, y: 0.0
[1725214598763] x: 0.0, y: 0.0
[1725214598774] x: 0.0, y: 0.0
[1725214598785] x: 0.0, y: 0.0
[1725214598796] x: 0.0, y: 0.0
[1725214598807] x: 0.0, y: 0.0
[1725214598818] x: 0.0, y: 0.0
[1725214598829] x: 0.0, y: 0.0
[1725214598840] x: 0.0, y: 0.0
[1725214598851] x: 0.0, y: 0.0
[1725214598862] x: 0.0, y: 0.0
[1725214598873] x: 0.0, y: 0.0
[1725214598884] x: 0.0, y: 0.0
[1725214598895] x: 0.0, y: 0.0
[1725214598906] x: 0.0, y: 0.0
[1725214598917] x: 0.0, y: 0.0
[1725214598928] x: 0.0, y: 0.0
[1725214598939] x: 0.0, y: 0.0
[1725214598950] x: 0.0, y: 0.0
[1725214598961] x: 0.0, y: 0.0
[1725214598972] x: 0.0, y: 0.0
[1725214598983] x: 0.0, y: 0.0
[1725214598994] x: 0.0, y: 0.0
[1725214599005] x: 0.0, y: 0.0
[1725214599016] x: 0.0, y: 0.0
[1725214599027] x: 0.0, y: 0.0
[1725214599038] x: 0.0, y: 0.0
[1725214599048] x: 0.0, y: 0.0
[1725214599060] x: 0.0, y: 0.0
[1725214599071] x: 0.0, y: 0.0
